COD_CIDADE,COD_REG,Região de Saúde,Casos,População Normalizada,PRECIPITAÇÃO NORMALIZADA,TEMP MAX NORMALIZADA,TEMP MIN NORMALIZADA,UMIDADE MAX NORMALIZADA,UMIDADE MIN NORMALIZADA
1,3,. Cruzeiro,199.0,0.0043754763876848,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
2,3,. Lago Norte,283.0,0.0050693852470175,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
3,3,. Lago Sul,223.0,0.0040311803040084,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
4,3,. Plano Piloto,1047.0,0.0325167270379726,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
5,3,. Sudoeste Octogonal,146.0,0.0073591072597495,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
6,3,. Varjão,84.0,0.0007148534034964,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
7,3,. Candangolândia,101.0,0.0018790478352444,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
8,3,. Estrutural,353.0,0.0042422368644277,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
9,3,. Guará,745.0,0.0166736293850021,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
10,3,. Núcleo Bandeirante,143.0,0.003025358848514,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
11,3,. Park Way,92.0,0.0025760178202626,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
12,4,. Riacho Fundo I,283.0,0.0049839959515807,0.0024684755270617,0.4878122023266709,0.5000269509532091,0.6542505432917763,0.5822481114143014
13,4,. Riacho Fundo II,1023.0,0.0052767362342386,0.0024684755270617,0.4878122023266709,0.5000269509532091,0.6542505432917763,0.5822481114143014
14,3,. SIA,8.0,0.0,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
15,5,. Jardim Botânico,309.0,0.0050764741696575,0.002832489091347,0.4667113786560231,0.4586397902761635,0.6423200859291086,0.5746635496303785
16,5,. Itapoã,551.0,0.0076903532812931,0.002832489091347,0.4667113786560231,0.4586397902761635,0.6423200859291086,0.5746635496303785
17,5,. Paranoá,1006.0,0.0070768392491735,0.002832489091347,0.4667113786560231,0.4586397902761635,0.6423200859291086,0.5746635496303785
18,5,. São Sebastião,2099.0,0.0113123094147176,0.002832489091347,0.4667113786560231,0.4586397902761635,0.6423200859291086,0.5746635496303785
19,2,. Fercal,49.0,0.000710020047151,0.0024808817922899,0.5235406133561707,0.5010788421348766,0.6626179463170059,0.591712884816333
20,2,. Planaltina,2164.0,0.0271152902100206,0.0024808817922899,0.5235406133561707,0.5010788421348766,0.6626179463170059,0.591712884816333
21,2,. Sobradinho,1694.0,0.0106166283247248,0.0024808817922899,0.5235406133561707,0.5010788421348766,0.6626179463170059,0.591712884816333
22,2,. Sobradinho II,725.0,0.012320869772141,0.0024808817922899,0.5235406133561707,0.5010788421348766,0.6626179463170059,0.591712884816333
23,1,. Brazlândia,2545.0,0.0086384966843981,0.0038514112137704,0.4546718040456859,0.427396449704142,0.6311863183720594,0.5607058326289096
24,1,. Ceilândia,5280.0,0.0646986635930816,0.0038514112137704,0.4546718040456859,0.427396449704142,0.6311863183720594,0.5607058326289096
25,3,. Águas Claras,743.0,0.0152366725434909,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
26,4,. Recanto Das Emas,2566.0,0.0192140414801863,0.0024684755270617,0.4878122023266709,0.5000269509532091,0.6542505432917763,0.5822481114143014
27,4,. Samambaia,3518.0,0.0317187399053338,0.0024684755270617,0.4878122023266709,0.5000269509532091,0.6542505432917763,0.5822481114143014
28,3,. Taguatinga,2169.0,0.0324392322245667,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
29,3,. Vicente Pires,1099.0,0.0091366546117389,0.0048616907554657,0.5035792307512008,0.5003158467891169,0.6243891214781777,0.5540938077724209
30,4,. Gama,933.0,0.0209756387562356,0.0024684755270617,0.4878122023266709,0.5000269509532091,0.6542505432917763,0.5822481114143014
31,4,. Santa Maria,670.0,0.0185818384701976,0.0024684755270617,0.4878122023266709,0.5000269509532091,0.6542505432917763,0.5822481114143014
32,7,Angra dos Reis,3248.0,0.0262738028702725,0.0041451257642943,0.4350031881815185,0.4589414744220658,0.8024422845261473,0.7561159989062776
33,8,Rio de janeiro,43592.0,1.0,0.0020092908873144,0.3813323650457751,0.359229089756728,0.6859878805709125,0.6242825245549356
34,6,Campos de Goytacazes,8300.0,0.0070886004162808,0.0018578524267906,0.4125585720959004,0.3977428785451216,0.7743754815457173,0.715722875542056
35,9,Valença,80.0,0.0102679822203375,0.003244712519154,0.4466990497312414,0.4342381718077858,0.7777278639525291,0.7328078388433908
