Região_de_Saude,Casos,População_Total,População_Normalizada,casos_normalizados_cem_mil,casos_normalizados,PRECIPITAÇÃO_NORMALIZADA,TEMP_MAX_NORMALIZADA,TEMP_MIN_NORMALIZADA,UMIDADE_MAX_NORMALIZADA,UMIDADE_MIN_NORMALIZADA,Ano
. Cruzeiro,278.0,3151400,0.0676285435384584,8.821476169321572,0.0236665796571826,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Lago Norte,422.0,3582100,0.0783537860828336,11.780798972669665,0.036195945358044,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Lago Sul,300.0,2937700,0.0623070103791063,10.21207066752902,0.0255807883059253,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Plano Piloto,1658.0,20618300,0.5025873060143037,8.041400115431438,0.143739667623771,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Sudoeste Octogonal,220.0,5003300,0.1137443472717493,4.397097915375852,0.0186200295832245,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Varjão,662.0,879300,0.0110489670697452,75.28716024110088,0.0570782215261463,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Candangolândia,365.0,1601900,0.0290430703030061,22.785442287283853,0.0312364047681197,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Estrutural,563.0,3068700,0.0655691575193736,18.34653110437645,0.0484642826068041,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Guará,1828.0,10784700,0.2577121142697771,16.949938338572238,0.1585312799095101,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Núcleo Bandeirante,591.0,2313400,0.0467607625953742,25.546814212846893,0.0509005481597494,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Park Way,280.0,2034500,0.0398156264318584,13.762595232243797,0.0238405986252501,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Riacho Fundo I,834.0,3529100,0.0770339860947865,23.6320875010626,0.072043852779953,0.2210026062022322,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. Riacho Fundo II,384.0,3710800,0.081558658883997,10.348172900722217,0.0328895849647611,0.2210026062022322,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. SIA,6.0,435600,0.0,1.3774104683195594,0.0,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Jardim Botânico,227.0,3586500,0.0784633543837281,6.329290394535062,0.0192290959714608,0.1935734416299411,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. Itapoã,2439.0,5208900,0.1188641751499093,46.82370558083281,0.2116940746541373,0.1935734416299411,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. Paranoá,2947.0,4828100,0.1093815367452238,61.038503759242765,0.2558948925432872,0.1935734416299411,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. São Sebastião,3129.0,7457000,0.1748461063410163,41.96057395735551,0.2717306186374315,0.1935734416299411,0.3695469371136378,0.3206934714495456,0.3057562177519665,0.2669667792515546,2019
. Fercal,519.0,876300,0.0109742614100444,59.22629236562821,0.0446358653093187,0.2850069419504106,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Planaltina,5667.0,17265700,0.4191012411100265,32.822300862403495,0.4925606891151135,0.2850069419504106,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Sobradinho,1781.0,7025200,0.1640934717214176,25.351591413767583,0.1544418341599234,0.2850069419504106,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Sobradinho II,2546.0,8083000,0.1904346873319122,31.498206111592232,0.2210040894457496,0.2850069419504106,0.2437661843174789,0.2026361949510695,0.2568031731947121,0.2354128999591167,2019
. Brazlândia,1310.0,5797400,0.1335189353945454,22.596336288681133,0.1134603671800226,0.3542853871698451,0.3898776629693247,0.3729053045122449,0.0305289047508841,0.0287486602814552,2019
. Ceilândia,4163.0,40593200,1.0,10.255412236532226,0.361698425128339,0.3542853871698451,0.3898776629693247,0.3729053045122449,0.0305289047508841,0.0287486602814552,2019
. Águas Claras,862.0,9892800,0.2355021216407355,8.71340773087498,0.0744801183328982,0.2822611236682109,0.2568255415658722,0.256027462066687,0.1294102679414616,0.1320521158903211,2019
. Recanto Das Emas,1995.0,12361500,0.2969774090085065,16.138818104598958,0.173061863743148,0.2210026062022322,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
. Samambaia,2547.0,20123000,0.490253401597705,12.657158475376436,0.2210910989297833,0.2210026062022322,0.4322226141464145,0.3257233240534808,0.1638001376249853,0.1202513935578334,2019
