COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,População Normalizada,casos_normalizados,PRECIPITAÇÃO NORMALIZADA,TEMP MAX NORMALIZADA,TEMP MIN NORMALIZADA,UMIDADE MAX NORMALIZADA,UMIDADE MIN NORMALIZADA
1,3,. Cruzeiro,570.0,3151400,0.0043754763876848,18.08719933997589,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
2,3,. Lago Norte,702.0,3582100,0.0050693852470175,19.597442840791715,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
3,3,. Lago Sul,529.0,2937700,0.0040311803040084,18.007284610409506,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
4,3,. Plano Piloto,1896.0,20618300,0.0325167270379726,9.19571448664536,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
5,3,. Sudoeste Octogonal,239.0,5003300,0.0073591072597495,4.776847280794676,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
6,3,. Varjão,203.0,879300,0.0007148534034964,23.08654611622882,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
7,3,. Candangolândia,263.0,1601900,0.0018790478352444,16.41800362070042,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
8,3,. Estrutural,671.0,3068700,0.0042422368644277,21.86593671587317,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
9,3,. Guará,2296.0,10784700,0.0166736293850021,21.289419269891606,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
10,3,. Núcleo Bandeirante,300.0,2313400,0.003025358848514,12.96792599636898,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
11,3,. Park Way,193.0,2034500,0.0025760178202626,9.48636028508233,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
12,4,. Riacho Fundo I,561.0,3529100,0.0049839959515807,15.896404182369444,0.1182393160159641,0.2735926832358939,0.2170507031350178,0.0153342704844459,0.0
13,4,. Riacho Fundo II,848.0,3710800,0.0052767362342386,22.852215155761563,0.1182393160159641,0.2735926832358939,0.2170507031350178,0.0153342704844459,0.0
14,3,. SIA,11.0,435600,0.0,2.525252525252525,0.114292261883584,0.0218664183901904,0.0603148733317729,0.1008293236190338,0.1103749979674421
15,5,. Jardim Botânico,503.0,3586500,0.0050764741696575,14.024815279520425,0.0566296848271185,0.1061843664548086,0.1219958729094268,0.2485690007078261,0.233413231179579
16,5,. Itapoã,779.0,5208900,0.0076903532812931,14.955172877190964,0.0566296848271185,0.1061843664548086,0.1219958729094268,0.2485690007078261,0.233413231179579
17,5,. Paranoá,1849.0,4828100,0.0070768392491735,38.29663842919575,0.0566296848271185,0.1061843664548086,0.1219958729094268,0.2485690007078261,0.233413231179579
18,5,. São Sebastião,3417.0,7457000,0.0113123094147176,45.82271691028564,0.0566296848271185,0.1061843664548086,0.1219958729094268,0.2485690007078261,0.233413231179579
19,2,. Fercal,140.0,876300,0.000710020047151,15.976263836585645,0.1032263352238329,0.0126127764760065,0.0016761674643107,0.2166073439049376,0.1977402970681954
20,2,. Planaltina,4359.0,17265700,0.0271152902100206,25.24658716414625,0.1032263352238329,0.0126127764760065,0.0016761674643107,0.2166073439049376,0.1977402970681954
21,2,. Sobradinho,3021.0,7025200,0.0106166283247248,43.00233445311166,0.1032263352238329,0.0126127764760065,0.0016761674643107,0.2166073439049376,0.1977402970681954
22,2,. Sobradinho II,2337.0,8083000,0.012320869772141,28.912532475566003,0.1032263352238329,0.0126127764760065,0.0016761674643107,0.2166073439049376,0.1977402970681954
23,1,. Brazlândia,1680.0,5797400,0.0086384966843981,28.978507606858248,0.1319121033859019,0.1430889592341203,0.1877407342416617,0.0,0.0220665115722358
24,1,. Ceilândia,11499.0,40593200,0.0646986635930816,28.32740458993132,0.1319121033859019,0.1430889592341203,0.1877407342416617,0.0,0.0220665115722358
