COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,População Normalizada,casos_normalizados_cem_mil,casos_normalizados,PRECIPITAÇÃO NORMALIZADA,TEMP MAX NORMALIZADA,TEMP MIN NORMALIZADA,UMIDADE MAX NORMALIZADA,UMIDADE MIN NORMALIZADA
1,3,. Cruzeiro,570.0,3151400,0.0676285435384584,18.08719933997589,0.0491560814337915,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
2,3,. Lago Norte,702.0,3582100,0.0783537860828336,19.597442840791715,0.0606403340873499,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
3,3,. Lago Sul,529.0,2937700,0.0623070103791063,18.007284610409506,0.045589002958065,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
4,3,. Plano Piloto,1896.0,20618300,0.5025873060143037,9.19571448664536,0.1645206194536279,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
5,3,. Sudoeste Octogonal,239.0,5003300,0.1137443472717493,4.776847280794676,0.0203584478858534,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
6,3,. Varjão,203.0,879300,0.0110489670697452,23.08654611622882,0.0172263789803375,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
7,3,. Candangolândia,263.0,1601900,0.0290430703030061,16.41800362070042,0.0224464938228641,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
8,3,. Estrutural,671.0,3068700,0.0655691575193736,21.86593671587317,0.0579432747520445,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
9,3,. Guará,2296.0,10784700,0.2577121142697771,21.289419269891606,0.1993213850704715,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
10,3,. Núcleo Bandeirante,300.0,2313400,0.0467607625953742,12.96792599636898,0.0256655646424221,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
11,3,. Park Way,193.0,2034500,0.0398156264318584,9.48636028508233,0.0163563598399164,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
12,4,. Riacho Fundo I,561.0,3529100,0.0770339860947865,15.896404182369444,0.0483730642074125,0.3774017756230867,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
13,4,. Riacho Fundo II,848.0,3710800,0.081558658883997,22.852215155761563,0.0733426135374978,0.3774017756230867,0.2977832236140203,0.2204482406154707,0.0153342704844459,0.0
14,3,. SIA,11.0,435600,0.0,2.525252525252525,0.0005220114842526,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
15,5,. Jardim Botânico,503.0,3586500,0.0784633543837281,14.024815279520425,0.0433269531929702,0.2486231401684274,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
16,5,. Itapoã,779.0,5208900,0.1188641751499093,14.955172877190964,0.0673394814685923,0.2486231401684274,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
17,5,. Paranoá,1849.0,4828100,0.1093815367452238,38.29663842919575,0.1604315294936488,0.2486231401684274,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
18,5,. São Sebastião,3417.0,7457000,0.1748461063410163,45.82271691028564,0.2968505307116756,0.2486231401684274,0.1155729845050804,0.1239054983779631,0.2485690007078261,0.233413231179579
19,2,. Fercal,140.0,876300,0.0109742614100444,15.976263836585645,0.0117452583956847,0.3460211108924122,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
20,2,. Planaltina,4359.0,17265700,0.4191012411100265,25.24658716414625,0.3788063337393422,0.3460211108924122,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
21,2,. Sobradinho,3021.0,7025200,0.1640934717214176,43.00233445311166,0.2623977727510005,0.3460211108924122,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
22,2,. Sobradinho II,2337.0,8083000,0.1904346873319122,28.912532475566003,0.202888463546198,0.3460211108924122,0.0137279739842675,0.0017024048443388,0.2166073439049376,0.1977402970681954
23,1,. Brazlândia,1680.0,5797400,0.1335189353945454,28.978507606858248,0.1457282060205324,0.4059811205466947,0.15574061060534,0.1906794769961462,0.0,0.0220665115722358
24,1,. Ceilândia,11499.0,40593200,1.0,28.32740458993132,1.0,0.4059811205466947,0.15574061060534,0.1906794769961462,0.0,0.0220665115722358
25,3,. Águas Claras,1560.0,9892800,0.2355021216407355,15.76904415332363,0.1352879763354793,0.3691515031344307,0.0237998051706287,0.0612589939442088,0.1008293236190338,0.1103749979674421
