COD_CIDADE,COD_REG,Região de Saúde,Casos,População Normalizada
1,3,. Cruzeiro,570.0,0.0043754763876848
2,3,. Lago Norte,702.0,0.0050693852470175
3,3,. Lago Sul,529.0,0.0040311803040084
4,3,. Plano Piloto,1896.0,0.0325167270379726
5,3,. Sudoeste Octogonal,239.0,0.0073591072597495
6,3,. Varjão,203.0,0.0007148534034964
7,3,. Candangolândia,263.0,0.0018790478352444
8,3,. Estrutural,671.0,0.0042422368644277
9,3,. Guará,2296.0,0.0166736293850021
10,3,. Núcleo Bandeirante,300.0,0.003025358848514
11,3,. Park Way,193.0,0.0025760178202626
12,4,. Riacho Fundo I,561.0,0.0049839959515807
13,4,. Riacho Fundo II,848.0,0.0052767362342386
14,3,. SIA,11.0,0.0
15,5,. Jardim Botânico,503.0,0.0050764741696575
16,5,. Itapoã,779.0,0.0076903532812931
17,5,. Paranoá,1849.0,0.0070768392491735
18,5,. São Sebastião,3417.0,0.0113123094147176
19,2,. Fercal,140.0,0.000710020047151
20,2,. Planaltina,4359.0,0.0271152902100206
21,2,. Sobradinho,3021.0,0.0106166283247248
22,2,. Sobradinho II,2337.0,0.012320869772141
23,1,. Brazlândia,1680.0,0.0086384966843981
24,1,. Ceilândia,11499.0,0.0646986635930816
25,3,. Águas Claras,1560.0,0.0152366725434909
26,4,. Recanto Das Emas,2260.0,0.0192140414801863
27,4,. Samambaia,6575.0,0.0317187399053338
28,3,. Taguatinga,4483.0,0.0324392322245667
29,3,. Vicente Pires,2491.0,0.0091366546117389
30,4,. Gama,1087.0,0.0209756387562356
31,4,. Santa Maria,740.0,0.0185818384701976
32,7,Angra dos Reis,504.0,0.0262738028702725
33,8,Rio de janeiro,7576.0,1.0
34,6,Campos de Goytacazes,1142.0,0.0070886004162808
35,9,Valença,146.0,0.0102679822203375
