COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,População Normalizada,casos_normalizados_cem_mil,casos_normalizados
1,3,. Cruzeiro,359.0,3151400,0.0043754763876848,11.391762391318144,0.008098930849355297
2,3,. Lago Norte,512.0,3582100,0.0050693852470175,14.293291644566038,0.011609232322305327
3,3,. Lago Sul,460.0,2937700,0.0040311803040084,15.65850835687783,0.010416188684439958
4,3,. Plano Piloto,2008.0,20618300,0.0325167270379726,9.738921249569557,0.045932180057816734
5,3,. Sudoeste Octogonal,179.0,5003300,0.0073591072597495,3.577638758419443,0.003969164410590556
6,3,. Varjão,126.0,879300,0.0007148534034964,14.329580348004095,0.0027531776258431606
7,3,. Candangolândia,261.0,1601900,0.0018790478352444,16.29315188213996,0.005850502454916717
8,3,. Estrutural,237.0,3068700,0.0042422368644277,7.723140091895591,0.005299866929748084
9,3,. Guará,2887.0,10784700,0.0166736293850021,26.76940480495517,0.06609920616711788
10,3,. Núcleo Bandeirante,251.0,2313400,0.003025358848514,10.849831416962047,0.005621070986096453
11,3,. Park Way,202.0,2034500,0.0025760178202626,9.92872941754731,0.004496856788877162
12,4,. Riacho Fundo I,568.0,3529100,0.0049839959515807,16.09475503669491,0.012894048547698803
13,4,. Riacho Fundo II,515.0,3710800,0.0052767362342386,13.878408968416515,0.011678061762951407
14,3,. SIA,14.0,435600,0.0,3.2139577594123048,0.0001835451750562107
15,5,. Jardim Botânico,443.0,3586500,0.0050764741696575,12.351875087132301,0.01002615518744551
16,5,. Itapoã,568.0,5208900,0.0076903532812931,10.904413599800343,0.012894048547698803
17,5,. Paranoá,656.0,4828100,0.0070768392491735,13.587125370228454,0.01491304547331712
18,5,. São Sebastião,2736.0,7457000,0.0113123094147176,36.69035805283627,0.0626347909879319
19,2,. Fercal,257.0,876300,0.000710020047151,29.32785575716079,0.005758729867388611
20,2,. Planaltina,2577.0,17265700,0.0271152902100206,14.925546024777448,0.058986830633689716
21,2,. Sobradinho,2570.0,7025200,0.0106166283247248,36.582588396059904,0.058826228605515535
22,2,. Sobradinho II,2735.0,8083000,0.012320869772141,33.8364468637882,0.06261184784104988
23,1,. Brazlândia,648.0,5797400,0.0086384966843981,11.177424362645324,0.01472950029826091
24,1,. Ceilândia,5249.0,40593200,0.0646986635930816,12.930737167801503,0.12029091910246409
25,3,. Águas Claras,1190.0,9892800,0.0152366725434909,12.02895034772764,0.027164685908319185
26,4,. Recanto Das Emas,1384.0,12361500,0.0192140414801863,11.196052259030054,0.03161565640343229
27,4,. Samambaia,3422.0,20123000,0.0317187399053338,17.00541668737266,0.07837378974900197
28,3,. Taguatinga,3425.0,20570200,0.0324392322245667,16.650299948469144,0.07844261918964805
29,3,. Vicente Pires,1986.0,6106600,0.0091366546117389,32.52218910686798,0.04542743082641215
30,4,. Gama,4735.0,13454900,0.0209756387562356,35.19164022029149,0.10849814160510256
31,4,. Santa Maria,3814.0,11969100,0.0185818384701976,31.86538670409638,0.0873675033267563
32,7,Angra dos Reis,187.0,16743400,0.0262738028702725,1.116857985833224,0.004152709585646767
33,8,Rio de janeiro,1536.0,621122300,1.0,0.2472942929274959,0.035103014729500295
34,6,Campos de Goytacazes,18.0,4835400,0.0070886004162808,0.3722546221615585,0.0002753177625843161
35,9,Valença,104.0,6808800,0.0102679822203375,1.5274350840089297,0.002248428394438581
